datetime,aapl,iba,aa,y
2013-11-25,69.366,37.205,20.709,396.03
2013-11-26,70.645,36.841,20.839000000000002,394.0
2013-11-27,72.311,36.629,20.816,395.32
2013-11-29,73.65,36.851,20.753,394.1
2013-12-02,73.008,36.407,20.623,396.83
2013-12-03,75.006,36.927,20.340999999999998,396.33
2013-12-04,74.832,36.945,20.211,394.53
2013-12-05,75.21600000000001,36.851,20.19,394.3
2013-12-06,74.173,37.391,20.211,396.69
2013-12-09,75.01899999999999,37.751999999999995,20.471,396.95
2013-12-10,74.904,38.806999999999995,20.645,395.08
2013-12-11,74.34899999999999,38.354,20.168,392.71
2013-12-12,74.24,38.095,20.234,393.91
2013-12-13,73.433,38.059,20.535999999999998,393.6
2013-12-16,73.837,38.161,20.669,395.57
2013-12-17,73.506,38.132,20.945,393.07
2013-12-18,72.94800000000001,38.754,21.224,396.52
2013-12-19,72.111,39.055,21.531,395.46
2013-12-20,72.715,37.51,21.465999999999998,396.88
2013-12-23,75.505,38.126,21.872,396.82
2013-12-24,75.187,37.897,22.37,398.5
2013-12-26,74.685,37.954,22.519000000000002,396.54
2013-12-27,74.182,37.946,23.086,394.83
2013-12-30,73.445,38.381,22.737,396.3
2013-12-31,74.303,38.181999999999995,22.956999999999997,399.96
2014-01-02,73.259,38.275999999999996,22.737,393.88
2014-01-03,71.649,38.438,22.823,393.31
2014-01-06,72.041,38.866,22.737,393.5
2014-01-07,71.52600000000001,39.671,22.756999999999998,394.2
2014-01-08,71.979,40.06,23.388,391.6
2014-01-09,71.059,41.966,23.086,391.63
2014-01-10,70.584,43.615,21.83,391.48
2014-01-13,70.953,42.724,21.807,391.02
2014-01-14,72.366,42.96,22.288,392.06
2014-01-15,73.819,42.676,22.868000000000002,393.04
2014-01-16,73.408,42.325,23.837,392.46
2014-01-17,71.609,42.629,24.528000000000002,391.09
2014-01-21,72.723,42.231,26.195999999999998,388.77
2014-01-22,73.044,41.803999999999995,26.389,388.79
2014-01-23,73.663,41.008,26.061999999999998,383.84
2014-01-24,72.324,40.439,24.704,375.29
2014-01-27,72.911,39.775,25.136999999999997,374.24
2014-01-28,67.084,39.49,25.587,375.9
2014-01-29,66.32300000000001,39.984,25.889,371.05
2014-01-30,66.195,39.804,25.804000000000002,374.97
2014-01-31,66.301,40.181,24.851,372.33
2014-02-03,66.425,38.532,24.255,363.6
2014-02-04,67.384,39.461,24.724,364.75
2014-02-05,67.889,39.177,23.901999999999997,366.35
2014-02-06,68.285,39.775,23.924,365.85
2014-02-07,69.24,38.93,24.230999999999998,370.33
2014-02-10,70.48100000000001,39.216,23.947,373.98
2014-02-11,71.41,39.177,24.528000000000002,375.18
2014-02-12,71.405,39.348,24.401999999999997,375.04
2014-02-13,72.539,40.866,24.682,376.39
2014-02-14,72.48100000000001,40.723,24.615,377.29
2014-02-18,72.747,39.966,24.682,379.31
2014-02-19,71.59899999999999,39.832,25.464000000000002,376.35
2014-02-20,70.77,40.231,25.506,380.73
2014-02-21,69.983,39.917,25.4,379.05
2014-02-24,70.289,40.561,25.484,379.5
2014-02-25,69.559,40.345,25.159000000000002,378.56
2014-02-26,68.931,39.736,26.089000000000002,382.87
2014-02-27,70.305,39.937,26.044,383.4
2014-02-28,70.115,39.775,25.42,385.5
2014-03-03,70.318,39.442,25.159000000000002,386.41
2014-03-04,70.781,39.681,25.546,391.61
2014-03-05,70.931,40.685,26.201,396.04
2014-03-06,70.71600000000001,40.866,26.111,397.0
2014-03-07,70.67399999999999,41.235,26.326999999999998,402.9
2014-03-10,70.738,40.998000000000005,25.849,403.93
2014-03-11,71.42699999999999,40.305,26.394000000000002,398.98
2014-03-12,71.495,40.895,26.349,400.21
2014-03-13,70.703,40.305,25.678,396.9
2014-03-14,69.908,40.580999999999996,25.634,399.51
2014-03-17,70.183,40.809,25.764,403.98
2014-03-18,70.80199999999999,40.457,25.976999999999997,403.67
2014-03-19,70.78399999999999,40.905,25.634,399.35
2014-03-20,70.442,40.846,25.787,402.57
2014-03-21,70.998,40.345,26.0,402.25
2014-03-24,71.843,40.571,26.0,400.93
2014-03-25,72.612,40.63,26.022,401.29
2014-03-26,71.918,40.637,25.678,403.91
2014-03-27,71.611,41.396,27.258000000000003,399.31
2014-03-28,71.531,41.54,27.023000000000003,400.19
2014-03-31,71.513,41.406000000000006,27.863000000000003,407.38
2014-04-01,72.168,41.52,28.234,406.63
2014-04-02,72.29,41.595,27.825,405.86
2014-04-03,71.78699999999999,40.905,27.583000000000002,408.51
2014-04-04,70.858,41.653,27.345,405.49
